Gene Set,entrez_gene,gene,symbol,description
NP,12028,ENSMUSG00000003873,Bax,BCL2-associated X protein [Source:MGI Symbol;Acc:MGI:99702]
NP,12036,ENSMUSG00000030826,Bcat2,"branched chain aminotransferase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1276534]"
NP,69903,ENSMUSG00000044562,Rasip1,Ras interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917153]
NP,19899,ENSMUSG00000059070,Rpl18,ribosomal protein L18 [Source:MGI Symbol;Acc:MGI:98003]
NP,19158,ENSMUSG00000003269,Cyth2,cytohesin 2 [Source:MGI Symbol;Acc:MGI:1334255]
NP,14884,ENSMUSG00000006599,Gtf2h1,"general transcription factor II H, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1277216]"
NP,22088,ENSMUSG00000014402,Tsg101,tumor susceptibility gene 101 [Source:MGI Symbol;Acc:MGI:106581]
NP,19259,ENSMUSG00000030854,Ptpn5,"protein tyrosine phosphatase, non-receptor type 5 [Source:MGI Symbol;Acc:MGI:97807]"
NP,668725,ENSMUSG00000074111,Mrgpra9,"MAS-related GPR, member A9 [Source:MGI Symbol;Acc:MGI:3033148]"
NP,NA,ENSMUSG00000094536,NA,NA
NP,233221,ENSMUSG00000050650,Mrgpra1,"MAS-related GPR, member A1 [Source:MGI Symbol;Acc:MGI:3033095]"
NP,668727,ENSMUSG00000093973,Mrgpra2a,"MAS-related GPR, member A2A [Source:MGI Symbol;Acc:MGI:3821888]"
NP,235712,ENSMUSG00000096719,Mrgpra2b,"MAS-related GPR, member A2B [Source:MGI Symbol;Acc:MGI:3033098]"
NP,404239,ENSMUSG00000070551,Mrgprb5,"MAS-related GPR, member B5 [Source:MGI Symbol;Acc:MGI:3033121]"
NP,243983,ENSMUSG00000030471,Zdhhc13,"zinc finger, DHHC domain containing 13 [Source:MGI Symbol;Acc:MGI:1919227]"
NP,53415,ENSMUSG00000039745,Htatip2,HIV-1 Tat interactive protein 2 [Source:MGI Symbol;Acc:MGI:1859271]
NP,338352,ENSMUSG00000055409,Nell1,NEL-like 1 [Source:MGI Symbol;Acc:MGI:2443902]
NP,93790,ENSMUSG00000030452,Nipa2,non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human) [Source:MGI Symbol;Acc:MGI:1913918]
NP,50794,ENSMUSG00000052040,Klf13,Kruppel-like factor 13 [Source:MGI Symbol;Acc:MGI:1354948]
NP,73724,ENSMUSG00000033429,Mcee,methylmalonyl CoA epimerase [Source:MGI Symbol;Acc:MGI:1920974]
NP,70420,ENSMUSG00000039043,Arpin,actin-related protein 2/3 complex inhibitor [Source:MGI Symbol;Acc:MGI:1917670]
NP,20352,ENSMUSG00000030539,Sema4b,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B [Source:MGI Symbol;Acc:MGI:107559]"
NP,68039,ENSMUSG00000025723,Nmb,neuromedin B [Source:MGI Symbol;Acc:MGI:1915289]
NP,56529,ENSMUSG00000025724,Sec11a,"SEC11 homolog A, signal peptidase complex subunit [Source:MGI Symbol;Acc:MGI:1929464]"
NP,100504421,ENSMUSG00000097277,2900076A07Rik,RIKEN cDNA 2900076A07 gene [Source:MGI Symbol;Acc:MGI:1920242]
NP,244091,ENSMUSG00000038663,Fsd2,fibronectin type III and SPRY domain containing 2 [Source:MGI Symbol;Acc:MGI:2444310]
NP,26557,ENSMUSG00000025813,Homer2,homer scaffolding protein 2 [Source:MGI Symbol;Acc:MGI:1347354]
NP,67148,ENSMUSG00000038646,Ramac,RNA guanine-7 methyltransferase activating subunit [Source:MGI Symbol;Acc:MGI:1914398]
NP,67290,ENSMUSG00000025102,3110040N11Rik,RIKEN cDNA 3110040N11 gene [Source:MGI Symbol;Acc:MGI:1914540]
NP,12173,ENSMUSG00000025105,Bnc1,basonuclin 1 [Source:MGI Symbol;Acc:MGI:1097164]
NP,80889,ENSMUSG00000070462,Tlnrd1,talin rod domain containing 1 [Source:MGI Symbol;Acc:MGI:1891420]
NP,100039239,ENSMUSG00000097789,Gm2115,predicted gene 2115 [Source:MGI Symbol;Acc:MGI:3780284]
NP,14085,ENSMUSG00000030630,Fah,fumarylacetoacetate hydrolase [Source:MGI Symbol;Acc:MGI:95482]
NP,72495,ENSMUSG00000085236,2610206C17Rik,RIKEN cDNA 2610206C17 gene [Source:MGI Symbol;Acc:MGI:1919745]
NP,50490,ENSMUSG00000030562,Nox4,NADPH oxidase 4 [Source:MGI Symbol;Acc:MGI:1354184]
NP,13626,ENSMUSG00000030619,Eed,embryonic ectoderm development [Source:MGI Symbol;Acc:MGI:95286]
NP,100040298,ENSMUSG00000087412,Gm15501,predicted pseudogene 15501 [Source:MGI Symbol;Acc:MGI:3704296]
NP,233552,ENSMUSG00000035314,Gdpd5,glycerophosphodiester phosphodiesterase domain containing 5 [Source:MGI Symbol;Acc:MGI:2686926]
NP,27050,ENSMUSG00000030744,Rps3,ribosomal protein S3 [Source:MGI Symbol;Acc:MGI:1350917]
NP,69710,ENSMUSG00000032812,Arap1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:1916960]"
NP,56212,ENSMUSG00000073982,Rhog,ras homolog family member G [Source:MGI Symbol;Acc:MGI:1928370]
NP,109042,ENSMUSG00000037060,Cavin3,caveolae associated 3 [Source:MGI Symbol;Acc:MGI:1923422]
NP,60510,ENSMUSG00000062542,Syt9,synaptotagmin IX [Source:MGI Symbol;Acc:MGI:1926373]
NP,11717,ENSMUSG00000005686,Ampd3,adenosine monophosphate deaminase 3 [Source:MGI Symbol;Acc:MGI:1096344]
NP,50781,ENSMUSG00000030772,Dkk3,dickkopf WNT signaling pathway inhibitor 3 [Source:MGI Symbol;Acc:MGI:1354952]
NP,116903,ENSMUSG00000030666,Calcb,"calcitonin-related polypeptide, beta [Source:MGI Symbol;Acc:MGI:2151254]"
NP,56372,ENSMUSG00000030663,1110004F10Rik,RIKEN cDNA 1110004F10 gene [Source:MGI Symbol;Acc:MGI:1929274]
NP,267019,ENSMUSG00000008683,Rps15a,ribosomal protein S15A [Source:MGI Symbol;Acc:MGI:2389091]
NP,56209,ENSMUSG00000033917,Gde1,glycerophosphodiester phosphodiesterase 1 [Source:MGI Symbol;Acc:MGI:1891827]
NP,233806,ENSMUSG00000030917,Tmem159,transmembrane protein 159 [Source:MGI Symbol;Acc:MGI:1925752]
NP,12971,ENSMUSG00000030905,Crym,"crystallin, mu [Source:MGI Symbol;Acc:MGI:102675]"
NP,26939,ENSMUSG00000030880,Polr3e,polymerase (RNA) III (DNA directed) polypeptide E [Source:MGI Symbol;Acc:MGI:1349452]
NP,246190,ENSMUSG00000034990,Otoa,otoancorin [Source:MGI Symbol;Acc:MGI:2149209]
NP,74105,ENSMUSG00000030872,Gga2,"golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:MGI Symbol;Acc:MGI:1921355]"
NP,59288,ENSMUSG00000030868,Dctn5,dynactin 5 [Source:MGI Symbol;Acc:MGI:1891689]
NP,233836,ENSMUSG00000030769,Slc5a11,"solute carrier family 5 (sodium/glucose cotransporter), member 11 [Source:MGI Symbol;Acc:MGI:1919316]"
NP,70497,ENSMUSG00000030766,Arhgap17,Rho GTPase activating protein 17 [Source:MGI Symbol;Acc:MGI:1917747]
NP,30949,ENSMUSG00000030763,Lcmt1,leucine carboxyl methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1353593]
NP,67711,ENSMUSG00000030750,Nsmce1,"NSE1 homolog, SMC5-SMC6 complex component [Source:MGI Symbol;Acc:MGI:1914961]"
NP,16190,ENSMUSG00000030748,Il4ra,"interleukin 4 receptor, alpha [Source:MGI Symbol;Acc:MGI:105367]"
NP,171504,ENSMUSG00000042759,Apobr,apolipoprotein B receptor [Source:MGI Symbol;Acc:MGI:2176230]
NP,56312,ENSMUSG00000030717,Nupr1,nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]
NP,26417,ENSMUSG00000063065,Mapk3,mitogen-activated protein kinase 3 [Source:MGI Symbol;Acc:MGI:1346859]
NP,66090,ENSMUSG00000042675,Ypel3,yippee like 3 [Source:MGI Symbol;Acc:MGI:1913340]
NP,68742,ENSMUSG00000060538,Tmem219,transmembrane protein 219 [Source:MGI Symbol;Acc:MGI:1915992]
NP,52858,ENSMUSG00000030682,Cdipt,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase) [Source:MGI Symbol;Acc:MGI:105491]
NP,78388,ENSMUSG00000030681,Mvp,major vault protein [Source:MGI Symbol;Acc:MGI:1925638]
NP,14123,ENSMUSG00000042423,Fbrs,fibrosin [Source:MGI Symbol;Acc:MGI:104648]
NP,269999,ENSMUSG00000043964,Orai3,ORAI calcium release-activated calcium modulator 3 [Source:MGI Symbol;Acc:MGI:3039586]
NP,27973,ENSMUSG00000096145,Vkorc1,"vitamin K epoxide reductase complex, subunit 1 [Source:MGI Symbol;Acc:MGI:106442]"
NP,67865,ENSMUSG00000030844,Rgs10,regulator of G-protein signalling 10 [Source:MGI Symbol;Acc:MGI:1915115]
NP,NA,ENSMUSG00000084964,Gm15503,predicted gene 15503 [Source:MGI Symbol;Acc:MGI:3782950]
NP,67872,ENSMUSG00000040331,Nsmce4a,"NSE4 homolog A, SMC5-SMC6 complex component [Source:MGI Symbol;Acc:MGI:1915122]"
NP,66885,ENSMUSG00000030861,Acadsb,"acyl-Coenzyme A dehydrogenase, short/branched chain [Source:MGI Symbol;Acc:MGI:1914135]"
NP,12237,ENSMUSG00000066979,Bub3,BUB3 mitotic checkpoint protein [Source:MGI Symbol;Acc:MGI:1343463]
NP,22276,ENSMUSG00000030979,Uros,uroporphyrinogen III synthase [Source:MGI Symbol;Acc:MGI:98917]
NP,212111,ENSMUSG00000025477,Inpp5a,inositol polyphosphate-5-phosphatase A [Source:MGI Symbol;Acc:MGI:2686961]
NP,11501,ENSMUSG00000025473,Adam8,a disintegrin and metallopeptidase domain 8 [Source:MGI Symbol;Acc:MGI:107825]
NP,69752,ENSMUSG00000025470,Zfp511,zinc finger protein 511 [Source:MGI Symbol;Acc:MGI:1917002]
NP,212518,ENSMUSG00000045733,Sprn,shadow of prion protein [Source:MGI Symbol;Acc:MGI:3582583]
NP,101489,ENSMUSG00000025485,Ric8a,RIC8 guanine nucleotide exchange factor A [Source:MGI Symbol;Acc:MGI:2141866]
NP,107702,ENSMUSG00000038650,Rnh1,ribonuclease/angiogenin inhibitor 1 [Source:MGI Symbol;Acc:MGI:1195456]
NP,70552,ENSMUSG00000038637,Lrrc56,leucine rich repeat containing 56 [Source:MGI Symbol;Acc:MGI:1917802]
NP,71448,ENSMUSG00000025505,Tmem80,transmembrane protein 80 [Source:MGI Symbol;Acc:MGI:1918698]
NP,21351,ENSMUSG00000025503,Taldo1,transaldolase 1 [Source:MGI Symbol;Acc:MGI:1274789]
NP,213350,ENSMUSG00000051007,Gatd1,glutamine amidotransferase like class 1 domain containing 1 [Source:MGI Symbol;Acc:MGI:2387178]
NP,NA,ENSMUSG00000025508,Rplp2,"ribosomal protein, large P2 [Source:MGI Symbol;Acc:MGI:1914436]"
NP,11772,ENSMUSG00000002957,Ap2a2,"adaptor-related protein complex 2, alpha 2 subunit [Source:MGI Symbol;Acc:MGI:101920]"
NP,54473,ENSMUSG00000025139,Tollip,toll interacting protein [Source:MGI Symbol;Acc:MGI:1891808]
NP,19935,ENSMUSG00000037772,Mrpl23,mitochondrial ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1196612]
NP,13043,ENSMUSG00000031078,Cttn,cortactin [Source:MGI Symbol;Acc:MGI:99695]
NP,233979,ENSMUSG00000048677,Tpcn2,two pore segment channel 2 [Source:MGI Symbol;Acc:MGI:2385297]
NP,211578,ENSMUSG00000051207,Mrgprd,"MAS-related GPR, member D [Source:MGI Symbol;Acc:MGI:3033142]"
NP,66125,ENSMUSG00000078348,Sf3b5,"splicing factor 3b, subunit 5 [Source:MGI Symbol;Acc:MGI:1913375]"
NP,NA,ENSMUSG00000071532,Gm10335,predicted gene 10335 [Source:MGI Symbol;Acc:MGI:3641693]
NP,66201,ENSMUSG00000019868,Vta1,vesicle (multivesicular body) trafficking 1 [Source:MGI Symbol;Acc:MGI:1913451]
NP,21929,ENSMUSG00000019850,Tnfaip3,"tumor necrosis factor, alpha-induced protein 3 [Source:MGI Symbol;Acc:MGI:1196377]"
NP,NA,ENSMUSG00000069682,Gm10275,predicted pseudogene 10275 [Source:MGI Symbol;Acc:MGI:3704354]
NP,22110,ENSMUSG00000047514,Tspyl1,"testis-specific protein, Y-encoded-like 1 [Source:MGI Symbol;Acc:MGI:1298395]"
NP,NA,ENSMUSG00000087014,Gm16364,predicted gene 16364 [Source:MGI Symbol;Acc:MGI:3840142]
NP,67239,ENSMUSG00000038510,Rpf2,ribosome production factor 2 homolog [Source:MGI Symbol;Acc:MGI:1914489]
NP,11702,ENSMUSG00000075232,Amd1,S-adenosylmethionine decarboxylase 1 [Source:MGI Symbol;Acc:MGI:88004]
NP,73075,ENSMUSG00000078451,Ppil6,peptidylprolyl isomerase (cyclophilin)-like 6 [Source:MGI Symbol;Acc:MGI:1920325]
NP,140742,ENSMUSG00000038332,Sesn1,sestrin 1 [Source:MGI Symbol;Acc:MGI:2155278]
NP,213402,ENSMUSG00000071324,Armc2,armadillo repeat containing 2 [Source:MGI Symbol;Acc:MGI:1916449]
NP,54198,ENSMUSG00000019804,Snx3,sorting nexin 3 [Source:MGI Symbol;Acc:MGI:1860188]
NP,14628,ENSMUSG00000038280,Ostm1,osteopetrosis associated transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:2655574]
NP,NA,ENSMUSG00000075184,F930017D23Rik,RIKEN cDNA F930017D23 gene [Source:MGI Symbol;Acc:MGI:3822538]
NP,76563,ENSMUSG00000019863,Qrsl1,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1 [Source:MGI Symbol;Acc:MGI:1923813]
NP,209462,ENSMUSG00000038822,Hace1,"HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:2446110]"
NP,76138,ENSMUSG00000038010,Ccdc138,coiled-coil domain containing 138 [Source:MGI Symbol;Acc:MGI:1923388]
NP,52717,ENSMUSG00000020107,Anapc16,anaphase promoting complex subunit 16 [Source:MGI Symbol;Acc:MGI:1289325]
NP,13688,ENSMUSG00000020091,Eif4ebp2,eukaryotic translation initiation factor 4E binding protein 2 [Source:MGI Symbol;Acc:MGI:109198]
NP,20224,ENSMUSG00000020088,Sar1a,secretion associated Ras related GTPase 1A [Source:MGI Symbol;Acc:MGI:98230]
NP,69894,ENSMUSG00000020083,Fam241b,"family with sequence similarity 241, member B [Source:MGI Symbol;Acc:MGI:1917144]"
NP,11925,ENSMUSG00000044312,Neurog3,neurogenin 3 [Source:MGI Symbol;Acc:MGI:893591]
NP,52637,ENSMUSG00000037710,Cisd1,CDGSH iron sulfur domain 1 [Source:MGI Symbol;Acc:MGI:1261855]
NP,68778,ENSMUSG00000033416,Gucd1,guanylyl cyclase domain containing 1 [Source:MGI Symbol;Acc:MGI:1916028]
NP,15468,ENSMUSG00000020230,Prmt2,protein arginine N-methyltransferase 2 [Source:MGI Symbol;Acc:MGI:1316652]
NP,22213,ENSMUSG00000009293,Ube2g2,ubiquitin-conjugating enzyme E2G 2 [Source:MGI Symbol;Acc:MGI:1343188]
NP,18641,ENSMUSG00000020277,Pfkl,"phosphofructokinase, liver, B-type [Source:MGI Symbol;Acc:MGI:97547]"
NP,13014,ENSMUSG00000005054,Cstb,cystatin B [Source:MGI Symbol;Acc:MGI:109514]
NP,216134,ENSMUSG00000032788,Pdxk,"pyridoxal (pyridoxine, vitamin B6) kinase [Source:MGI Symbol;Acc:MGI:1351869]"
NP,216148,ENSMUSG00000020312,Shc2,SHC (Src homology 2 domain containing) transforming protein 2 [Source:MGI Symbol;Acc:MGI:106180]
NP,83554,ENSMUSG00000020325,Fstl3,follistatin-like 3 [Source:MGI Symbol;Acc:MGI:1890391]
NP,13496,ENSMUSG00000019564,Arid3a,AT rich interactive domain 3A (BRIGHT-like) [Source:MGI Symbol;Acc:MGI:1328360]
NP,59090,ENSMUSG00000035621,Midn,midnolin [Source:MGI Symbol;Acc:MGI:1890222]
NP,69770,ENSMUSG00000035595,Fam174c,"family with sequence similarity 174, member C [Source:MGI Symbol;Acc:MGI:1917020]"
NP,237400,ENSMUSG00000048696,Mex3d,mex3 RNA binding family member D [Source:MGI Symbol;Acc:MGI:2681847]
NP,17347,ENSMUSG00000020190,Mknk2,MAP kinase-interacting serine/threonine kinase 2 [Source:MGI Symbol;Acc:MGI:894279]
NP,NA,ENSMUSG00000097889,NA,NA
NP,208228,ENSMUSG00000003348,Mob3a,MOB kinase activator 3A [Source:MGI Symbol;Acc:MGI:3050117]
NP,78670,ENSMUSG00000035278,Plekhj1,"pleckstrin homology domain containing, family J member 1 [Source:MGI Symbol;Acc:MGI:1925920]"
NP,16907,ENSMUSG00000062075,Lmnb2,lamin B2 [Source:MGI Symbol;Acc:MGI:96796]
NP,NA,ENSMUSG00000094683,Ap3m1-ps,"adaptor-related protein complex 3, mu 1 subunit, pseudogene [Source:MGI Symbol;Acc:MGI:3645307]"
NP,50493,ENSMUSG00000020250,Txnrd1,thioredoxin reductase 1 [Source:MGI Symbol;Acc:MGI:1354175]
NP,28109,ENSMUSG00000020255,Nopchap1,NOP protein chaperone 1 [Source:MGI Symbol;Acc:MGI:106381]
NP,103136,ENSMUSG00000001785,Pwp1,"PWP1 homolog, endonuclein [Source:MGI Symbol;Acc:MGI:1914735]"
NP,72843,ENSMUSG00000035529,Prdm4,PR domain containing 4 [Source:MGI Symbol;Acc:MGI:1920093]
NP,67341,ENSMUSG00000085111,Ascl4,achaete-scute family bHLH transcription factor 4 [Source:MGI Symbol;Acc:MGI:1914591]
NP,69736,ENSMUSG00000035351,Nup37,nucleoporin 37 [Source:MGI Symbol;Acc:MGI:1919964]
NP,67282,ENSMUSG00000020056,Washc3,WASH complex subunit 3 [Source:MGI Symbol;Acc:MGI:1914532]
NP,104303,ENSMUSG00000060904,Arl1,ADP-ribosylation factor-like 1 [Source:MGI Symbol;Acc:MGI:99436]
NP,77531,ENSMUSG00000058589,Anks1b,ankyrin repeat and sterile alpha motif domain containing 1B [Source:MGI Symbol;Acc:MGI:1924781]
NP,13713,ENSMUSG00000008398,Elk3,"ELK3, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101762]"
NP,15109,ENSMUSG00000020017,Hal,histidine ammonia lyase [Source:MGI Symbol;Acc:MGI:96010]
NP,69878,ENSMUSG00000020018,Snrpf,small nuclear ribonucleoprotein polypeptide F [Source:MGI Symbol;Acc:MGI:1917128]
NP,NA,ENSMUSG00000090610,Gm3571,predicted gene 3571 [Source:MGI Symbol;Acc:MGI:3781748]
NP,319880,ENSMUSG00000020023,Tmcc3,transmembrane and coiled coil domains 3 [Source:MGI Symbol;Acc:MGI:2442900]
NP,54712,ENSMUSG00000074785,Plxnc1,plexin C1 [Source:MGI Symbol;Acc:MGI:1890127]
NP,12905,ENSMUSG00000045867,Cradd,CASP2 and RIPK1 domain containing adaptor with death domain [Source:MGI Symbol;Acc:MGI:1336168]
NP,216233,ENSMUSG00000020027,Socs2,suppressor of cytokine signaling 2 [Source:MGI Symbol;Acc:MGI:1201787]
NP,70523,ENSMUSG00000097766,5730420D15Rik,RIKEN cDNA 5730420D15 gene [Source:MGI Symbol;Acc:MGI:1917773]
NP,237504,ENSMUSG00000044921,Rassf9,Ras association (RalGDS/AF-6) domain family (N-terminal) member 9 [Source:MGI Symbol;Acc:MGI:2384307]
NP,NA,ENSMUSG00000058799,Nap1l1,nucleosome assembly protein 1-like 1 [Source:MGI Symbol;Acc:MGI:1855693]
NP,67226,ENSMUSG00000069520,Tmem19,transmembrane protein 19 [Source:MGI Symbol;Acc:MGI:1914476]
NP,64050,ENSMUSG00000020171,Yeats4,YEATS domain containing 4 [Source:MGI Symbol;Acc:MGI:1927224]
NP,73914,ENSMUSG00000020227,Irak3,interleukin-1 receptor-associated kinase 3 [Source:MGI Symbol;Acc:MGI:1921164]
NP,320183,ENSMUSG00000051236,Msrb3,methionine sulfoxide reductase B3 [Source:MGI Symbol;Acc:MGI:2443538]
NP,192678,ENSMUSG00000025795,Rassf3,Ras association (RalGDS/AF-6) domain family member 3 [Source:MGI Symbol;Acc:MGI:2179722]
NP,11567,ENSMUSG00000025432,Avil,advillin [Source:MGI Symbol;Acc:MGI:1333798]
NP,NA,ENSMUSG00000006728,Cdk4,cyclin-dependent kinase 4 [Source:MGI Symbol;Acc:MGI:88357]
NP,14421,ENSMUSG00000006731,B4galnt1,"beta-1,4-N-acetyl-galactosaminyl transferase 1 [Source:MGI Symbol;Acc:MGI:1342057]"
NP,117150,ENSMUSG00000025417,Pip4k2c,"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma [Source:MGI Symbol;Acc:MGI:2152214]"
NP,69654,ENSMUSG00000025410,Dctn2,dynactin 2 [Source:MGI Symbol;Acc:MGI:107733]
NP,13198,ENSMUSG00000025408,Ddit3,DNA-damage inducible transcript 3 [Source:MGI Symbol;Acc:MGI:109247]
NP,20852,ENSMUSG00000002147,Stat6,signal transducer and activator of transcription 6 [Source:MGI Symbol;Acc:MGI:103034]
NP,20847,ENSMUSG00000040033,Stat2,signal transducer and activator of transcription 2 [Source:MGI Symbol;Acc:MGI:103039]
NP,67945,ENSMUSG00000093674,Rpl41,ribosomal protein L41 [Source:MGI Symbol;Acc:MGI:1915195]
NP,27370,ENSMUSG00000025362,Rps26,ribosomal protein S26 [Source:MGI Symbol;Acc:MGI:1351628]
NP,69129,ENSMUSG00000069633,Pex11g,peroxisomal biogenesis factor 11 gamma [Source:MGI Symbol;Acc:MGI:1920905]
NP,94178,ENSMUSG00000004567,Mcoln1,mucolipin 1 [Source:MGI Symbol;Acc:MGI:1890498]
NP,66682,ENSMUSG00000040236,Trappc5,trafficking protein particle complex 5 [Source:MGI Symbol;Acc:MGI:1913932]
NP,213027,ENSMUSG00000011832,Evi5l,ecotropic viral integration site 5 like [Source:MGI Symbol;Acc:MGI:2442167]
NP,73072,ENSMUSG00000064125,Prr36,proline rich 36 [Source:MGI Symbol;Acc:MGI:3605626]
NP,NA,ENSMUSG00000097308,Gm6410,predicted gene 6410 [Source:MGI Symbol;Acc:MGI:3643419]
NP,234023,ENSMUSG00000040459,Arglu1,arginine and glutamate rich 1 [Source:MGI Symbol;Acc:MGI:2442985]
NP,102334,ENSMUSG00000031508,Ankrd10,ankyrin repeat domain 10 [Source:MGI Symbol;Acc:MGI:1921840]
NP,NA,ENSMUSG00000081951,Gm15352,predicted gene 15352 [Source:MGI Symbol;Acc:MGI:3641922]
NP,99375,ENSMUSG00000031446,Cul4a,cullin 4A [Source:MGI Symbol;Acc:MGI:1914487]
NP,16783,ENSMUSG00000031447,Lamp1,lysosomal-associated membrane protein 1 [Source:MGI Symbol;Acc:MGI:96745]
NP,23954,ENSMUSG00000031478,Nek3,NIMA (never in mitosis gene a)-related expressed kinase 3 [Source:MGI Symbol;Acc:MGI:1344371]
NP,80986,ENSMUSG00000037725,Ckap2,cytoskeleton associated protein 2 [Source:MGI Symbol;Acc:MGI:1931797]
NP,102247,ENSMUSG00000031545,Gpat4,glycerol-3-phosphate acyltransferase 4 [Source:MGI Symbol;Acc:MGI:2142716]
NP,320158,ENSMUSG00000037492,Zmat4,"zinc finger, matrin type 4 [Source:MGI Symbol;Acc:MGI:2443497]"
NP,71910,ENSMUSG00000031570,Plpp5,phospholipid phosphatase 5 [Source:MGI Symbol;Acc:MGI:1919160]
NP,23808,ENSMUSG00000031575,Ash2l,ASH2 like histone lysine methyltransferase complex subunit [Source:MGI Symbol;Acc:MGI:1344416]
NP,19053,ENSMUSG00000009630,Ppp2cb,"protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform [Source:MGI Symbol;Acc:MGI:1321161]"
NP,22428,ENSMUSG00000031516,Dctn6,dynactin 6 [Source:MGI Symbol;Acc:MGI:1343154]
NP,68192,ENSMUSG00000031513,Leprotl1,leptin receptor overlapping transcript-like 1 [Source:MGI Symbol;Acc:MGI:1915442]
NP,244421,ENSMUSG00000039633,Lonrf1,LON peptidase N-terminal domain and ring finger 1 [Source:MGI Symbol;Acc:MGI:3609241]
NP,654824,ENSMUSG00000050914,Ankrd37,ankyrin repeat domain 37 [Source:MGI Symbol;Acc:MGI:3603344]
NP,16363,ENSMUSG00000031627,Irf2,interferon regulatory factor 2 [Source:MGI Symbol;Acc:MGI:96591]
NP,234267,ENSMUSG00000031517,Gpm6a,glycoprotein m6a [Source:MGI Symbol;Acc:MGI:107671]
NP,17961,ENSMUSG00000051147,Nat2,N-acetyltransferase 2 (arylamine N-acetyltransferase) [Source:MGI Symbol;Acc:MGI:109201]
NP,72281,ENSMUSG00000053886,Sh2d4a,SH2 domain containing 4A [Source:MGI Symbol;Acc:MGI:1919531]
NP,211134,ENSMUSG00000036306,Lzts1,"leucine zipper, putative tumor suppressor 1 [Source:MGI Symbol;Acc:MGI:2684762]"
NP,72368,ENSMUSG00000002345,Borcs8,BLOC-1 related complex subunit 8 [Source:MGI Symbol;Acc:MGI:1919618]
NP,234384,ENSMUSG00000035559,Mpv17l2,MPV17 mitochondrial membrane protein-like 2 [Source:MGI Symbol;Acc:MGI:2681846]
NP,65972,ENSMUSG00000031838,Ifi30,interferon gamma inducible protein 30 [Source:MGI Symbol;Acc:MGI:2137648]
NP,70807,ENSMUSG00000002910,Arrdc2,arrestin domain containing 2 [Source:MGI Symbol;Acc:MGI:1918057]
NP,84036,ENSMUSG00000002908,Kcnn1,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1 [Source:MGI Symbol;Acc:MGI:1933993]"
NP,NA,ENSMUSG00000020887,A230052G05Rik,RIKEN cDNA A230052G05 gene [Source:MGI Symbol;Acc:MGI:3045239]
NP,76808,ENSMUSG00000045128,Rpl18a,ribosomal protein L18A [Source:MGI Symbol;Acc:MGI:1924058]
NP,234407,ENSMUSG00000034807,Colgalt1,collagen beta(1-O)galactosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1924348]
NP,326618,ENSMUSG00000031799,Tpm4,tropomyosin 4 [Source:MGI Symbol;Acc:MGI:2449202]
NP,66818,ENSMUSG00000044600,Smim7,small integral membrane protein 7 [Source:MGI Symbol;Acc:MGI:1914068]
NP,17125,ENSMUSG00000031681,Smad1,SMAD family member 1 [Source:MGI Symbol;Acc:MGI:109452]
NP,14388,ENSMUSG00000031714,Gab1,growth factor receptor bound protein 2-associated protein 1 [Source:MGI Symbol;Acc:MGI:108088]
NP,244548,ENSMUSG00000035151,Elmod2,ELMO/CED-12 domain containing 2 [Source:MGI Symbol;Acc:MGI:2445165]
NP,68544,ENSMUSG00000041203,Trir,telomerase RNA component interacting RNase [Source:MGI Symbol;Acc:MGI:1922833]
NP,68628,ENSMUSG00000008167,Fbxw9,F-box and WD-40 domain protein 9 [Source:MGI Symbol;Acc:MGI:1915878]
NP,330817,ENSMUSG00000060038,Dhps,deoxyhypusine synthase [Source:MGI Symbol;Acc:MGI:2683592]
NP,65114,ENSMUSG00000031696,Vps35,VPS35 retromer complex component [Source:MGI Symbol;Acc:MGI:1890467]
NP,20437,ENSMUSG00000036840,Siah1a,siah E3 ubiquitin protein ligase 1A [Source:MGI Symbol;Acc:MGI:108064]
NP,NA,ENSMUSG00000074178,Gm10638,predicted gene 10638 [Source:MGI Symbol;Acc:MGI:3704316]
NP,14339,ENSMUSG00000031667,Aktip,AKT interacting protein [Source:MGI Symbol;Acc:MGI:3693832]
